Selección,R32,Octavos,Cuartos,Semis,Final,Campeón,Elo_2026,Elo_z,market_value_m_eur,avg_market_value_m_eur,avg_age_tm,wc_particip,tm_squad_signal
España,99.9,82.2622730753868,55.52231373192372,42.54321505755679,27.86296130395914,17.2046909213885,2155,2.1485486678074723,1220.0,47.03,26.8,18,1.4173890173846042
Francia,99.9,90.89530413434645,63.544333767948665,42.058472127381,25.991647938768363,13.45839363915996,2062,1.609267180425265,1520.0,58.58,27.0,17,1.5672590980786936
Inglaterra,99.9,81.61130533015806,55.15510706533416,35.09360334393564,20.591206939579724,10.60919281892416,2021,1.3715194279234315,1360.0,52.43,27.2,17,1.5285841450722164
Argentina,99.9,67.27019531835636,48.11930966018866,31.326161332714346,18.9415750729493,10.399578229751004,2114,1.910800915305639,782.5,31.3,29.1,20,0.9606785935154084
Portugal,99.9,76.33000457666614,49.48314461435656,27.953358162700702,14.76395961176198,6.944074667587792,1986,1.1685640294462567,1010.0,38.67,28.0,10,1.1092670293180964
Brasil,99.9,65.54997887031314,43.455968646940455,24.8689465298712,13.24192355866035,6.884064276252134,1991,1.1975576578001388,923.2,35.51,29.2,23,1.071654183529238
Alemania,99.9,69.77808511877909,36.991242807620594,20.843514396267583,10.22196257966133,4.928895204712445,1932,0.8554328432243299,947.0,36.42,28.1,21,1.225863698055178
Países Bajos,98.44009148461328,55.93395111396413,36.470087839412095,18.83043827427885,9.190809039714871,4.542673527083152,1944,0.9250175512736468,804.2,30.93,27.8,12,1.0416232686161244
Marruecos,97.74850296772172,54.12986344452101,33.137169244229746,15.865415275175724,7.364978231624185,3.378356372379381,1824,0.2291704707804761,498.3,19.17,26.4,8,0.6330444802720919
Bélgica,97.7143720030376,65.67180417376527,36.94508848125606,15.769861418687697,7.237937464952101,3.083439298764872,1893,0.6292825420640493,547.5,21.06,27.6,15,0.8886919288529057
Colombia,95.18813715597926,51.32832565279473,24.605487123581185,11.443081137963029,4.678557001613098,2.099064428273165,1977,1.1163754984092689,302.35,11.63,30.1,7,-0.0490845262988991
Croacia,92.6858389644602,49.86115413919629,21.83407523468793,10.35922970864325,4.370850256427855,1.9036654871444485,1908,0.7162634271256957,387.3,14.9,28.3,7,0.4089996098690729
Uruguay,95.28874840831342,39.25353870748717,21.905057799726336,10.163190700124291,4.147978024401973,1.8276015714203249,1892,0.6234838163932729,359.3,13.82,28.8,16,0.475488939068544
Senegal,90.03961110950507,51.6830120751912,23.636696909999305,10.02198733670889,3.999310136320162,1.5697392485896813,1867,0.4785156746238623,478.1,18.39,27.1,4,0.566220747858793
México,96.43316552986624,55.81372161905934,22.47215304977732,8.271445392945127,2.9646715011220044,1.3624187723399048,1875,0.5249054799900738,191.85,7.38,27.9,18,0.2609602124190925
Estados Unidos,88.56400270957322,49.44597124720242,22.53753472738008,8.40326757574908,3.2139701556013254,1.292168016961479,1726,-0.3391046449556134,385.65,14.83,26.9,12,0.6414344636089065
Suiza,96.40457492221176,54.99284299167379,22.63184402862675,7.895659675099146,2.905301161487688,1.196270934688364,1891,0.6176850907224964,332.5,12.79,28.3,13,0.4543805951106301
Noruega,86.73684767674531,44.76406170793692,20.38365436685121,8.210837393576114,2.9496074615783536,1.1469426317803575,1917,0.7684519581626835,589.9,22.69,26.8,4,0.6494104823508045
Japón,85.46599303488911,34.84442883263776,16.776069236345883,6.567740241182043,2.3626030207859547,1.0082551736291774,1906,0.7046659757841428,270.85,10.42,27.8,8,0.296824086132251
Ecuador,90.81203333818512,41.8267594581443,16.668188921199583,6.348266292635172,2.305784690232909,0.8753023104385523,1935,0.8728290202366591,368.7,14.18,26.1,5,0.3090945759259152
Türkiye,79.75944220976102,41.37646167269724,16.631628502129836,5.902895300033163,2.0883823676490176,0.7439711389110205,1911,0.733659604138025,473.7,18.22,27.7,3,0.4478968347547193
Canadá,89.4213248949494,43.27693094844916,15.47987712552123,4.639499540367689,1.3733258151681882,0.5294559822832896,1788,0.0204163466325248,196.65,7.87,27.1,3,-0.0111583591303389
Austria,79.78883570443433,21.91836261900536,8.348272343315312,2.940574237232536,0.8641514120998124,0.4177943442558292,1830,0.2639628248051346,242.2,9.69,28.6,9,0.1468502657106935
Costa de Marfil,79.34767778475559,30.64691683190888,10.197226772192094,3.3358915358464047,0.90139258244774,0.3907319906780236,1695,-0.5188651407496825,522.1,20.08,25.9,4,0.4447012581836878
Suecia,65.31824807284471,21.1516364873891,8.551115285599678,2.753155910928386,0.79909217466447,0.3852020784100548,1712,-0.4202868043464833,406.08,15.62,27.6,13,0.6760462512353018
Corea del Sur,81.35292797781389,34.880228099894985,10.918970532272835,3.098481661930935,0.8180221575477632,0.350071380721987,1758,-0.1535454234907678,139.05,5.35,28.1,12,-0.0487839536698092
Argelia,76.54696404159459,20.594421507817497,7.911466361627217,2.570258528314826,0.7076964193217664,0.2962061655585725,1760,-0.1419479721492149,256.9,9.88,26.9,5,0.2098643082985416
Egipto,76.8098760867161,27.21830180945123,7.899639012386598,2.0794033343881164,0.5461029357416123,0.2607710685808548,1696,-0.513066415078906,116.48,4.48,29.1,4,-0.5300615854758502
Paraguay,52.40537530596789,19.74477994593426,5.738736247962887,1.646836928762295,0.4453318533148713,0.1724529044474854,1833,0.2813590018174639,153.65,5.91,29.0,10,-0.1626171878642138
Australia,57.74205541065236,23.0678763029456,6.556209257257044,1.7559790759129852,0.4193259864610544,0.1608756243142127,1777,-0.0433696357460157,77.45,2.98,27.4,7,-0.3989535796396222
Chequia,64.87914344043871,21.82754966865615,5.526535220574672,1.3347995720576642,0.3143968316277865,0.1503533393222909,1740,-0.2579224855647434,188.18,7.24,27.6,2,-0.1579478437937918
Escocia,54.50448684785403,15.038737843853523,4.27446771924946,0.9888322947870468,0.2361631284381912,0.075570913406008,1782,-0.0143760073921336,170.25,6.55,29.2,9,-0.1551026621541422
Irán,69.80728120361319,22.619790970857466,5.3035221412712055,1.2229566435913055,0.2292661321933292,0.0725508023557181,1772,-0.0723632640998978,32.05,1.23,30.4,7,-1.3812432631256832
Ghana,32.19621842998991,7.919638203547372,1.9369727473607257,0.3790983746165748,0.0902781781905267,0.0427000905884901,1510,-1.591629389843321,234.6,8.69,26.8,5,0.1347692742182886
Túnez,27.10981483640783,5.856843210086958,1.392409629778037,0.26796437548545,0.085187850724534,0.0403708740093454,1628,-0.9073797606917028,69.95,2.69,26.7,7,-0.4993323162124505
Bosnia y Herzegovina,49.18916474881207,13.055182912918646,2.6697623671310007,0.4865367215902865,0.1544237753814108,0.0365433816338724,1595,-1.0987377078273248,151.6,5.83,26.4,2,-0.3426050075861381
RD Congo,39.475473561561486,8.856353419848375,1.9044289164647197,0.3708127004936716,0.0885730316894608,0.0336319189791372,1661,-0.7160218135560809,143.9,5.53,29.1,1,-0.632174200837229
Panamá,27.86870748207003,6.244064701862008,1.258902555270593,0.2574370188659185,0.0818583449491006,0.0232303435037332,1730,-0.3159097422725077,34.55,1.33,30.4,2,-1.5820426783355932
Uzbekistán,30.681431440402005,6.05734148465407,1.1149399532608542,0.2415442180070588,0.0763956906379614,0.0215953552775854,1718,-0.3854944503218248,85.33,3.28,28.5,1,-0.8437268146287958
Sudáfrica,26.921598353608708,5.757396777839197,0.8943420298615493,0.1686523195993598,0.0795411625882108,0.014903782167306,1528,-1.4872523277693452,49.25,1.89,26.8,4,-0.7913899443619227
Arabia Saudita,26.705915753027057,4.277353404067096,0.7875390295341799,0.1654661403156808,0.0782435425100774,0.0146957095195655,1569,-1.2495045752675118,40.68,1.56,28.5,7,-0.9091197550658686
Qatar,28.811617065504343,5.190871311464012,0.763280804937593,0.1374318328860679,0.0631255298674152,0.0114988809106645,1421,-2.1077159745424225,19.93,0.766,29.5,2,-1.6540070125401325
Cabo Verde,16.809415864357696,2.308291147939592,0.345305883208188,0.0810591007194376,0.0304415211759922,0.0070895500627725,1578,-1.197316044230524,54.5,2.1,29.7,1,-1.281738271333897
Jordania,11.76268317483115,1.3534044964473526,0.2510031235111995,0.0778803804004686,0.0292843688306945,0.0068234403355351,1685,-0.5768523974574468,20.0,0.8,28.8,1,-1.646110608553632
Nueva Zelanda,16.63742817742379,2.6988617389345797,0.4161069232636482,0.0773221523865614,0.0290372458634847,0.006764648009748,1562,-1.2900956549629468,34.35,1.32,28.1,3,-1.1082879609776777
Irak,8.338268138598828,1.344103269538368,0.2482954224509005,0.0767605599777338,0.0287675144433871,0.006684949159466,1618,-0.9653670173994672,21.2,0.815,26.9,2,-1.333146724447664
Haití,10.739425785793904,1.4254506021757536,0.246082391551025,0.0758720566389273,0.0212789455379477,0.0065848994629607,1548,-1.371277814353817,55.9,2.15,27.6,2,-0.8475747275240388
Curazao,8.247278901113456,1.0462670222357342,0.1584344436693204,0.0289061106677744,0.0133183497315083,0.0060869118656196,1434,-2.032332540822329,25.78,0.991,28.0,1,-1.4087883638824117
